Nombre;Provincia;Plato Típico
Calp;Alicante/Alacant;Arroz al Horno
Altea;Alicante/Alacant;Arroz al Horno
Pilar de la Horadada;Alicante/Alacant;Arroz al Horno
Almoradí;Alicante/Alacant;Arroz al Horno
Aspe;Alicante/Alacant;Arroz al Horno
Alfàs del Pi, l';Alicante/Alacant;Arroz al Horno
Callosa de Segura;Alicante/Alacant;Arroz al Horno
Nucia, la;Alicante/Alacant;Arroz al Horno
Rojales;Alicante/Alacant;Arroz al Horno
Guardamar del Segura;Alicante/Alacant;Arroz al Horno
Albatera;Alicante/Alacant;Arroz al Horno
Monóvar/Monòver;Alicante/Alacant;Arroz al Horno
Cocentaina;Alicante/Alacant;Arroz al Horno
Teulada;Alicante/Alacant;Arroz al Horno
Benissa;Alicante/Alacant;Arroz al Horno
Pego;Alicante/Alacant;Arroz al Horno
Castalla;Alicante/Alacant;Arroz al Horno
Sax;Alicante/Alacant;Arroz al Horno
Muro de Alcoy;Alicante/Alacant;Arroz al Horno
Catral;Alicante/Alacant;Arroz al Horno
Monforte del Cid;Alicante/Alacant;Arroz al Horno
Pinós, el/Pinoso;Alicante/Alacant;Arroz al Horno
Redován;Alicante/Alacant;Arroz al Horno
San Fulgencio;Alicante/Alacant;Arroz al Horno
Pedreguer;Alicante/Alacant;Arroz al Horno
Onil;Alicante/Alacant;Arroz al Horno
Dolores;Alicante/Alacant;Arroz al Horno
Callosa d'en Sarrià;Alicante/Alacant;Arroz al Horno
Cox;Alicante/Alacant;Arroz al Horno
Banyeres de Mariola;Alicante/Alacant;Arroz al Horno
Ondara;Alicante/Alacant;Arroz al Horno
Jijona/Xixona;Alicante/Alacant;Arroz al Horno
Bigastro;Alicante/Alacant;Arroz al Horno
Finestrat;Alicante/Alacant;Arroz al Horno
Gata de Gorgos;Alicante/Alacant;Arroz al Horno
San Miguel de Salinas;Alicante/Alacant;Arroz al Horno
Benejúzar;Alicante/Alacant;Arroz al Horno
Montesinos, Los;Alicante/Alacant;Arroz al Horno
Polop;Alicante/Alacant;Arroz al Horno
Agost;Alicante/Alacant;Arroz al Horno
Verger, el;Alicante/Alacant;Arroz al Horno
Rafal;Alicante/Alacant;Arroz al Horno
Benitachell/Poble Nou de Benitatxell, el;Alicante/Alacant;Arroz al Horno
Formentera del Segura;Alicante/Alacant;Arroz al Horno
Biar;Alicante/Alacant;Arroz al Horno
Benijófar;Alicante/Alacant;Arroz al Horno
Busot;Alicante/Alacant;Arroz al Horno
Algorfa;Alicante/Alacant;Arroz al Horno
Xaló;Alicante/Alacant;Arroz al Horno
Poblets, els;Alicante/Alacant;Arroz al Horno
Granja de Rocamora;Alicante/Alacant;Arroz al Horno
Fondó de les Neus, el/Hondón de las Nieves;Alicante/Alacant;Arroz al Horno
Romana, la;Alicante/Alacant;Arroz al Horno
Orba;Alicante/Alacant;Arroz al Horno
Beniarbeig;Alicante/Alacant;Arroz al Horno
Jacarilla;Alicante/Alacant;Arroz al Horno
San Isidro;Alicante/Alacant;Arroz al Horno
Benferri;Alicante/Alacant;Arroz al Horno
Daya Nueva;Alicante/Alacant;Arroz al Horno
Beneixama;Alicante/Alacant;Arroz al Horno
Tibi;Alicante/Alacant;Arroz al Horno
Salinas;Alicante/Alacant;Arroz al Horno
Algueña;Alicante/Alacant;Arroz al Horno
Alcalalí;Alicante/Alacant;Arroz al Horno
Cañada;Alicante/Alacant;Arroz al Horno
Hondón de los Frailes;Alicante/Alacant;Arroz al Horno
Relleu;Alicante/Alacant;Arroz al Horno
Beniarrés;Alicante/Alacant;Arroz al Horno
Benidoleig;Alicante/Alacant;Arroz al Horno
Aigües;Alicante/Alacant;Arroz al Horno
Llíber;Alicante/Alacant;Arroz al Horno
Parcent;Alicante/Alacant;Arroz al Horno
Vall de Laguar, la;Alicante/Alacant;Arroz al Horno
Orxeta;Alicante/Alacant;Arroz al Horno
Benilloba;Alicante/Alacant;Arroz al Horno
Planes;Alicante/Alacant;Arroz al Horno
Daya Vieja;Alicante/Alacant;Arroz al Horno
Sanet y Negrals;Alicante/Alacant;Arroz al Horno
Torremanzanas/Torre de les Maçanes, la;Alicante/Alacant;Arroz al Horno
Ràfol d'Almúnia, el;Alicante/Alacant;Arroz al Horno
Tàrbena;Alicante/Alacant;Arroz al Horno
Atzúbia, l';Alicante/Alacant;Arroz al Horno
Senija;Alicante/Alacant;Arroz al Horno
Sella;Alicante/Alacant;Arroz al Horno
Lorcha/Orxa, l';Alicante/Alacant;Arroz al Horno
Vall de Gallinera;Alicante/Alacant;Arroz al Horno
Agres;Alicante/Alacant;Arroz al Horno
Alqueria d'Asnar, l';Alicante/Alacant;Arroz al Horno
Benigembla;Alicante/Alacant;Arroz al Horno
Benimantell;Alicante/Alacant;Arroz al Horno
Murla;Alicante/Alacant;Arroz al Horno
Gaianes;Alicante/Alacant;Arroz al Horno
Castell de Castells;Alicante/Alacant;Arroz al Horno
Bolulla;Alicante/Alacant;Arroz al Horno
Benimeli;Alicante/Alacant;Arroz al Horno
Campo de Mirra/Camp de Mirra, el;Alicante/Alacant;Arroz al Horno
Alfafara;Alicante/Alacant;Arroz al Horno
Benimarfull;Alicante/Alacant;Arroz al Horno
Sagra;Alicante/Alacant;Arroz al Horno
Tormos;Alicante/Alacant;Arroz al Horno
Penàguila;Alicante/Alacant;Arroz al Horno
Gorga;Alicante/Alacant;Arroz al Horno
Millena;Alicante/Alacant;Arroz al Horno
Beniardá;Alicante/Alacant;Arroz al Horno
Alcocer de Planes;Alicante/Alacant;Arroz al Horno
Castell de Guadalest, el;Alicante/Alacant;Arroz al Horno
Vall d'Ebo, la;Alicante/Alacant;Arroz al Horno
Confrides;Alicante/Alacant;Arroz al Horno
Alcoleja;Alicante/Alacant;Arroz al Horno
Vall d'Alcalà, la;Alicante/Alacant;Arroz al Horno
Benasau;Alicante/Alacant;Arroz al Horno
Benifato;Alicante/Alacant;Arroz al Horno
Balones;Alicante/Alacant;Arroz al Horno
Quatretondeta;Alicante/Alacant;Arroz al Horno
Almudaina;Alicante/Alacant;Arroz al Horno
Benimassot;Alicante/Alacant;Arroz al Horno
Facheca;Alicante/Alacant;Arroz al Horno
Benifallim;Alicante/Alacant;Arroz al Horno
Benillup;Alicante/Alacant;Arroz al Horno
Tollos;Alicante/Alacant;Arroz al Horno
Famorca;Alicante/Alacant;Arroz al Horno
Almería;Almería;Migas de harina
Roquetas de Mar;Almería;Migas de harina
Ejido, El;Almería;Migas de harina
Níjar;Almería;Migas de harina
Vícar;Almería;Migas de harina
Adra;Almería;Migas de harina
Huércal-Overa;Almería;Migas de harina
Huércal de Almería;Almería;Migas de harina
Vera;Almería;Migas de harina
Cuevas del Almanzora;Almería;Migas de harina
Berja;Almería;Migas de harina
Albox;Almería;Migas de harina
Pulpí;Almería;Migas de harina
Garrucha;Almería;Migas de harina
Mojonera, La;Almería;Migas de harina
Carboneras;Almería;Migas de harina
Vélez-Rubio;Almería;Migas de harina
Mojácar;Almería;Migas de harina
Olula del Río;Almería;Migas de harina
Viator;Almería;Migas de harina
Macael;Almería;Migas de harina
Arboleas;Almería;Migas de harina
Benahadux;Almería;Migas de harina
Pechina;Almería;Migas de harina
Dalías;Almería;Migas de harina
Tabernas;Almería;Migas de harina
Alhama de Almería;Almería;Migas de harina
Turre;Almería;Migas de harina
Tíjola;Almería;Migas de harina
Cantoria;Almería;Migas de harina
Antas;Almería;Migas de harina
Gádor;Almería;Migas de harina
Balanegra;Almería;Migas de harina
Zurgena;Almería;Migas de harina
Gallardos, Los;Almería;Migas de harina
Sorbas;Almería;Migas de harina
Oria;Almería;Migas de harina
Fines;Almería;Migas de harina
Serón;Almería;Migas de harina
Fiñana;Almería;Migas de harina
Vélez-Blanco;Almería;Migas de harina
Purchena;Almería;Migas de harina
Láujar de Andarax;Almería;Migas de harina
Lubrín;Almería;Migas de harina
Chirivel;Almería;Migas de harina
Rioja;Almería;Migas de harina
Abla;Almería;Migas de harina
María;Almería;Migas de harina
Canjáyar;Almería;Migas de harina
Abrucena;Almería;Migas de harina
Partaloa;Almería;Migas de harina
Gérgal;Almería;Migas de harina
Fondón;Almería;Migas de harina
Bédar;Almería;Migas de harina
Taberno;Almería;Migas de harina
Uleila del Campo;Almería;Migas de harina
Alcolea;Almería;Migas de harina
Lúcar;Almería;Migas de harina
Albanchez;Almería;Migas de harina
Alhabia;Almería;Migas de harina
Felix;Almería;Migas de harina
Alboloduy;Almería;Migas de harina
Ohanes;Almería;Migas de harina
Tres Villas, Las;Almería;Migas de harina
Lucainena de las Torres;Almería;Migas de harina
Alcóntar;Almería;Migas de harina
Nacimiento;Almería;Migas de harina
Huécija;Almería;Migas de harina
Enix;Almería;Migas de harina
Santa Fe de Mondújar;Almería;Migas de harina
Instinción;Almería;Migas de harina
Somontín;Almería;Migas de harina
Padules;Almería;Migas de harina
Íllar;Almería;Migas de harina
Líjar;Almería;Migas de harina
Sierro;Almería;Migas de harina
Terque;Almería;Migas de harina
Paterna del Río;Almería;Migas de harina
Tahal;Almería;Migas de harina
Urrácal;Almería;Migas de harina
Bayárcal;Almería;Migas de harina
Rágol;Almería;Migas de harina
Armuña de Almanzora;Almería;Migas de harina
Senés;Almería;Migas de harina
Chercos;Almería;Migas de harina
Benizalón;Almería;Migas de harina
Bacares;Almería;Migas de harina
Velefique;Almería;Migas de harina
Turrillas;Almería;Migas de harina
Bentarique;Almería;Migas de harina
Bayarque;Almería;Migas de harina
Santa Cruz de Marchena;Almería;Migas de harina
Alicún;Almería;Migas de harina
Suflí;Almería;Migas de harina
Olula de Castro;Almería;Migas de harina
Laroya;Almería;Migas de harina
Cóbdar;Almería;Migas de harina
Almócita;Almería;Migas de harina
Alcudia de Monteagud;Almería;Migas de harina
Alsodux;Almería;Migas de harina
Castro de Filabres;Almería;Migas de harina
Beires;Almería;Migas de harina
Benitagla;Almería;Migas de harina
Vitoria-Gasteiz;Araba/Álava;Caracoles a la alavesa
Laudio/Llodio;Araba/Álava;Caracoles a la alavesa
Amurrio;Araba/Álava;Caracoles a la alavesa
Agurain/Salvatierra;Araba/Álava;Caracoles a la alavesa
Iruña Oka/Iruña de Oca;Araba/Álava;Caracoles a la alavesa
Oyón-Oion;Araba/Álava;Caracoles a la alavesa
Ayala/Aiara;Araba/Álava;Caracoles a la alavesa
Alegría-Dulantzi;Araba/Álava;Caracoles a la alavesa
Zuia;Araba/Álava;Caracoles a la alavesa
Legutio;Araba/Álava;Caracoles a la alavesa
Artziniega;Araba/Álava;Caracoles a la alavesa
Zigoitia;Araba/Álava;Caracoles a la alavesa
Asparrena;Araba/Álava;Caracoles a la alavesa
Laguardia;Araba/Álava;Caracoles a la alavesa
Aramaio;Araba/Álava;Caracoles a la alavesa
Labastida/Bastida;Araba/Álava;Caracoles a la alavesa
Urkabustaiz;Araba/Álava;Caracoles a la alavesa
Erriberabeitia;Araba/Álava;Caracoles a la alavesa
Okondo;Araba/Álava;Caracoles a la alavesa
Campezo/Kanpezu;Araba/Álava;Caracoles a la alavesa
Elciego;Araba/Álava;Caracoles a la alavesa
Valdegovía/Gaubea;Araba/Álava;Caracoles a la alavesa
Arratzua-Ubarrundia;Araba/Álava;Caracoles a la alavesa
Barrundia;Araba/Álava;Caracoles a la alavesa
Lantarón;Araba/Álava;Caracoles a la alavesa
Lapuebla de Labarca;Araba/Álava;Caracoles a la alavesa
Erriberagoitia/Ribera Alta;Araba/Álava;Caracoles a la alavesa
Arraia-Maeztu;Araba/Álava;Caracoles a la alavesa
San Millán/Donemiliaga;Araba/Álava;Caracoles a la alavesa
Lanciego/Lantziego;Araba/Álava;Caracoles a la alavesa
Elburgo/Burgelu;Araba/Álava;Caracoles a la alavesa
Iruraiz-Gauna;Araba/Álava;Caracoles a la alavesa
Bernedo;Araba/Álava;Caracoles a la alavesa
Berantevilla;Araba/Álava;Caracoles a la alavesa
Zambrana;Araba/Álava;Caracoles a la alavesa
Kuartango;Araba/Álava;Caracoles a la alavesa
Elvillar/Bilar;Araba/Álava;Caracoles a la alavesa
Samaniego;Araba/Álava;Caracoles a la alavesa
Villabuena de Álava/Eskuernaga;Araba/Álava;Caracoles a la alavesa
Baños de Ebro/Mañueta;Araba/Álava;Caracoles a la alavesa
Yécora/Iekora;Araba/Álava;Caracoles a la alavesa
Peñacerrada-Urizaharra;Araba/Álava;Caracoles a la alavesa
Armiñón;Araba/Álava;Caracoles a la alavesa
Harana/Valle de Arana;Araba/Álava;Caracoles a la alavesa
Moreda de Álava/Moreda Araba;Araba/Álava;Caracoles a la alavesa
Leza;Araba/Álava;Caracoles a la alavesa
Navaridas;Araba/Álava;Caracoles a la alavesa
Zalduondo;Araba/Álava;Caracoles a la alavesa
Kripan;Araba/Álava;Caracoles a la alavesa
Lagrán;Araba/Álava;Caracoles a la alavesa
Añana;Araba/Álava;Caracoles a la alavesa
Gijón;Asturias;Fabada
Oviedo;Asturias;Fabada
Avilés;Asturias;Fabada
Siero;Asturias;Fabada
Langreo;Asturias;Fabada
Mieres;Asturias;Fabada
Castrillón;Asturias;Fabada
San Martín del Rey Aurelio;Asturias;Fabada
Corvera de Asturias;Asturias;Fabada
Villaviciosa;Asturias;Fabada
Llanera;Asturias;Fabada
Llanes;Asturias;Fabada
Laviana;Asturias;Fabada
Cangas del Narcea;Asturias;Fabada
Valdés;Asturias;Fabada
Lena;Asturias;Fabada
Aller;Asturias;Fabada
Carreño;Asturias;Fabada
Gozón;Asturias;Fabada
Grado;Asturias;Fabada
Tineo;Asturias;Fabada
Navia;Asturias;Fabada
Pravia;Asturias;Fabada
Piloña;Asturias;Fabada
Cangas de Onís;Asturias;Fabada
Ribadesella;Asturias;Fabada
Parres;Asturias;Fabada
Nava;Asturias;Fabada
Noreña;Asturias;Fabada
Cudillero;Asturias;Fabada
Salas;Asturias;Fabada
Vegadeo;Asturias;Fabada
Soto del Barco;Asturias;Fabada
Franco, El;Asturias;Fabada
Tapia de Casariego;Asturias;Fabada
Castropol;Asturias;Fabada
Coaña;Asturias;Fabada
Colunga;Asturias;Fabada
Morcín;Asturias;Fabada
Cabrales;Asturias;Fabada
Candamo;Asturias;Fabada
Muros de Nalón;Asturias;Fabada
Riosa;Asturias;Fabada
Ribera de Arriba;Asturias;Fabada
Regueras, Las;Asturias;Fabada
Ribadedeva;Asturias;Fabada
Bimenes;Asturias;Fabada
Allande;Asturias;Fabada
Teverga;Asturias;Fabada
Caso;Asturias;Fabada
Boal;Asturias;Fabada
Belmonte de Miranda;Asturias;Fabada
Sariego;Asturias;Fabada
Ibias;Asturias;Fabada
Peñamellera Baja;Asturias;Fabada
Villayón;Asturias;Fabada
Quirós;Asturias;Fabada
Somiedo;Asturias;Fabada
Cabranes;Asturias;Fabada
Illas;Asturias;Fabada
Degaña;Asturias;Fabada
Grandas de Salime;Asturias;Fabada
Sobrescobio;Asturias;Fabada
Proaza;Asturias;Fabada
Onís;Asturias;Fabada
Amieva;Asturias;Fabada
Taramundi;Asturias;Fabada
Ponga;Asturias;Fabada
Peñamellera Alta;Asturias;Fabada
Caravia;Asturias;Fabada
Santa Eulalia de Oscos;Asturias;Fabada
San Tirso de Abres;Asturias;Fabada
San Martín de Oscos;Asturias;Fabada
Illano;Asturias;Fabada
Villanueva de Oscos;Asturias;Fabada
Santo Adriano;Asturias;Fabada
Pesoz;Asturias;Fabada
Yernes y Tameza;Asturias;Fabada
Ávila;Ávila;Chuletón de ternera avileña
Arévalo;Ávila;Chuletón de ternera avileña
Arenas de San Pedro;Ávila;Chuletón de ternera avileña
Navas del Marqués, Las;Ávila;Chuletón de ternera avileña
Candeleda;Ávila;Chuletón de ternera avileña
Sotillo de la Adrada;Ávila;Chuletón de ternera avileña
Tiemblo, El;Ávila;Chuletón de ternera avileña
Cebreros;Ávila;Chuletón de ternera avileña
Adrada, La;Ávila;Chuletón de ternera avileña
Barco de Ávila, El;Ávila;Chuletón de ternera avileña
Hoyo de Pinares, El;Ávila;Chuletón de ternera avileña
Piedralaves;Ávila;Chuletón de ternera avileña
Navaluenga;Ávila;Chuletón de ternera avileña
Barraco, El;Ávila;Chuletón de ternera avileña
Piedrahíta;Ávila;Chuletón de ternera avileña
Casavieja;Ávila;Chuletón de ternera avileña
Madrigal de las Altas Torres;Ávila;Chuletón de ternera avileña
Burgohondo;Ávila;Chuletón de ternera avileña
Mombeltrán;Ávila;Chuletón de ternera avileña
Arenal, El;Ávila;Chuletón de ternera avileña
Lanzahíta;Ávila;Chuletón de ternera avileña
Solosancho;Ávila;Chuletón de ternera avileña
Pedro Bernardo;Ávila;Chuletón de ternera avileña
Tiñosillos;Ávila;Chuletón de ternera avileña
Navalperal de Pinares;Ávila;Chuletón de ternera avileña
Fontiveros;Ávila;Chuletón de ternera avileña
Nava de Arévalo;Ávila;Chuletón de ternera avileña
San Esteban del Valle;Ávila;Chuletón de ternera avileña
Sanchidrián;Ávila;Chuletón de ternera avileña
Mijares;Ávila;Chuletón de ternera avileña
Casillas;Ávila;Chuletón de ternera avileña
Maello;Ávila;Chuletón de ternera avileña
Fresno, El;Ávila;Chuletón de ternera avileña
Gavilanes;Ávila;Chuletón de ternera avileña
San Bartolomé de Pinares;Ávila;Chuletón de ternera avileña
Horcajada, La;Ávila;Chuletón de ternera avileña
Horcajo de las Torres;Ávila;Chuletón de ternera avileña
Guisando;Ávila;Chuletón de ternera avileña
Crespos;Ávila;Chuletón de ternera avileña
Cuevas del Valle;Ávila;Chuletón de ternera avileña
Langa;Ávila;Chuletón de ternera avileña
San Juan de la Nava;Ávila;Chuletón de ternera avileña
Poyales del Hoyo;Ávila;Chuletón de ternera avileña
Cardeñosa;Ávila;Chuletón de ternera avileña
Santa María del Tiétar;Ávila;Chuletón de ternera avileña
Navarredonda de Gredos;Ávila;Chuletón de ternera avileña
San Pedro del Arroyo;Ávila;Chuletón de ternera avileña
Tornadizos de Ávila;Ávila;Chuletón de ternera avileña
Herradón de Pinares;Ávila;Chuletón de ternera avileña
Palacios de Goda;Ávila;Chuletón de ternera avileña
Santa María del Berrocal;Ávila;Chuletón de ternera avileña
Mingorría;Ávila;Chuletón de ternera avileña
Hoyos del Espino;Ávila;Chuletón de ternera avileña
Muñana;Ávila;Chuletón de ternera avileña
Villarejo del Valle;Ávila;Chuletón de ternera avileña
Santa Cruz del Valle;Ávila;Chuletón de ternera avileña
Colilla, La;Ávila;Chuletón de ternera avileña
Muñogalindo;Ávila;Chuletón de ternera avileña
Navalmoral;Ávila;Chuletón de ternera avileña
Berlanas, Las;Ávila;Chuletón de ternera avileña
Santa María del Cubillo;Ávila;Chuletón de ternera avileña
Martiherrero;Ávila;Chuletón de ternera avileña
Navalosa;Ávila;Chuletón de ternera avileña
Flores de Ávila;Ávila;Chuletón de ternera avileña
Navahondilla;Ávila;Chuletón de ternera avileña
Hoyocasero;Ávila;Chuletón de ternera avileña
Hornillo, El;Ávila;Chuletón de ternera avileña
Peguerinos;Ávila;Chuletón de ternera avileña
Padiernos;Ávila;Chuletón de ternera avileña
Higuera de las Dueñas;Ávila;Chuletón de ternera avileña
Navarrevisca;Ávila;Chuletón de ternera avileña
Cabezas del Villar;Ávila;Chuletón de ternera avileña
San Juan de Gredos;Ávila;Chuletón de ternera avileña
Sotalbo;Ávila;Chuletón de ternera avileña
Navalacruz;Ávila;Chuletón de ternera avileña
Serranillos;Ávila;Chuletón de ternera avileña
Torre, La;Ávila;Chuletón de ternera avileña
Aldeaseca;Ávila;Chuletón de ternera avileña
Bohoyo;Ávila;Chuletón de ternera avileña
Navatalgordo;Ávila;Chuletón de ternera avileña
Navalonguilla;Ávila;Chuletón de ternera avileña
Papatrigo;Ávila;Chuletón de ternera avileña
Villanueva de Ávila;Ávila;Chuletón de ternera avileña
Riofrío;Ávila;Chuletón de ternera avileña
Velayos;Ávila;Chuletón de ternera avileña
Mamblas;Ávila;Chuletón de ternera avileña
Bercial de Zapardiel;Ávila;Chuletón de ternera avileña
San Juan del Molinillo;Ávila;Chuletón de ternera avileña
Adanero;Ávila;Chuletón de ternera avileña
Becedas;Ávila;Chuletón de ternera avileña
Blascomillán;Ávila;Chuletón de ternera avileña
San Martín del Pimpollar;Ávila;Chuletón de ternera avileña
Barromán;Ávila;Chuletón de ternera avileña
Albornos;Ávila;Chuletón de ternera avileña
Rasueros;Ávila;Chuletón de ternera avileña
Niharra;Ávila;Chuletón de ternera avileña
Carrera, La;Ávila;Chuletón de ternera avileña
Santiago del Collado;Ávila;Chuletón de ternera avileña
Navarredondilla;Ávila;Chuletón de ternera avileña
Fuente el Saúz;Ávila;Chuletón de ternera avileña
San Vicente de Arévalo;Ávila;Chuletón de ternera avileña
Collado de Contreras;Ávila;Chuletón de ternera avileña
San Martín de la Vega del Alberche;Ávila;Chuletón de ternera avileña
Aldehuela, La;Ávila;Chuletón de ternera avileña
Gotarrendura;Ávila;Chuletón de ternera avileña
Villatoro;Ávila;Chuletón de ternera avileña
Oso, El;Ávila;Chuletón de ternera avileña
Hernansancho;Ávila;Chuletón de ternera avileña
Santa Cruz de Pinares;Ávila;Chuletón de ternera avileña
Solana de Rioalmar;Ávila;Chuletón de ternera avileña
Cabezas de Alambre;Ávila;Chuletón de ternera avileña
Gemuño;Ávila;Chuletón de ternera avileña
Narros del Castillo;Ávila;Chuletón de ternera avileña
Pajares de Adaja;Ávila;Chuletón de ternera avileña
Sinlabajos;Ávila;Chuletón de ternera avileña
Riocabado;Ávila;Chuletón de ternera avileña
Diego del Carpio;Ávila;Chuletón de ternera avileña
Pedro-Rodríguez;Ávila;Chuletón de ternera avileña
Villafranca de la Sierra;Ávila;Chuletón de ternera avileña
Amavida;Ávila;Chuletón de ternera avileña
Herreros de Suso;Ávila;Chuletón de ternera avileña
Pradosegar;Ávila;Chuletón de ternera avileña
Mirón, El;Ávila;Chuletón de ternera avileña
Bohodón, El;Ávila;Chuletón de ternera avileña
Bonilla de la Sierra;Ávila;Chuletón de ternera avileña
Aldeanueva de Santa Cruz;Ávila;Chuletón de ternera avileña
Muñomer del Peco;Ávila;Chuletón de ternera avileña
Santiago del Tormes;Ávila;Chuletón de ternera avileña
Villanueva del Aceral;Ávila;Chuletón de ternera avileña
Serrada, La;Ávila;Chuletón de ternera avileña
Fresnedilla;Ávila;Chuletón de ternera avileña
Martínez;Ávila;Chuletón de ternera avileña
Zapardiel de la Ribera;Ávila;Chuletón de ternera avileña
San Miguel de Serrezuela;Ávila;Chuletón de ternera avileña
Villanueva de Gómez;Ávila;Chuletón de ternera avileña
Espinosa de los Caballeros;Ávila;Chuletón de ternera avileña
Salobral;Ávila;Chuletón de ternera avileña
Villaflor;Ávila;Chuletón de ternera avileña
Mediana de Voltoya;Ávila;Chuletón de ternera avileña
Solana de Ávila;Ávila;Chuletón de ternera avileña
Constanzana;Ávila;Chuletón de ternera avileña
Puerto Castilla;Ávila;Chuletón de ternera avileña
Blascosancho;Ávila;Chuletón de ternera avileña
Losar del Barco, El;Ávila;Chuletón de ternera avileña
Santa María del Arroyo;Ávila;Chuletón de ternera avileña
Cantiveros;Ávila;Chuletón de ternera avileña
Narros de Saldueña;Ávila;Chuletón de ternera avileña
Bernuy-Zapardiel;Ávila;Chuletón de ternera avileña
Cisla;Ávila;Chuletón de ternera avileña
Mironcillo;Ávila;Chuletón de ternera avileña
Peñalba de Ávila;Ávila;Chuletón de ternera avileña
